address,num_transactions,%total_transactions
0x605af86361d018c42f167e7c49307e239b66ac8c,9,0.11
0x80af042159f8e6d7cfb4f2fa94f741f9e50d34cc,9,0.11
0x384c956cec14f42b18eac69f91dac467514b475f,9,0.11
0xf1f5de11473edd5a05f1e0416845168f6d9abdbd,9,0.11
0x9bd2893707a7b735f117c6f87f51687f4bbab406,8,0.1
0xe775afad1d6aa63d12f8c9f9d2e210fef06aa17c,8,0.1
0xc88dbd8c17f480ba0ef33710a35ad3397fbfef26,8,0.1
0x1874b10b6549b27f436b84166ee5d3f50056b891,8,0.1
0xac0442a9d8bd01dfff6b2527aad027812df2d43b,8,0.1
0x07c622e3a3c9eb73f02effee4cfc189897bff467,8,0.1
0x1c438a8048d44d1aa7207772d1a5eac6ff924e3d,8,0.1
0x93598f69e41329e117d51e5f66dd47cac745f3ed,8,0.1
0x63851fa3b38cd62a535ae0c91ce6c43e87a84260,8,0.1
0x0a00f2a39633e4106ad37cc4c4e10c7f30d77c23,8,0.1
0x8827dca6e1eb89731bb2aee8741805b3c038cc0e,8,0.1
0x97a4da7f7bd83c95c7d22eb389da1e6ad73e1bcc,8,0.1
0x8e65a9a245027b85b3c6c58e4161507a17f26413,8,0.1
0x9e315e9701908501f6dc68a2af6e28a20c75d970,8,0.1
0xcf0e9b4746cfb97bae329fe5f696969f6564566a,8,0.1
0x284533614b2155609ae3aa4d78f3deb5783c5af3,8,0.1
0xe91c0ace0d522a0ced60a43937213fc8ab46e299,8,0.1
0x22976ccca632eb9d2a0fee085d247d3f1a9c93bf,8,0.1
0xce00935de195601cb5b3d79136d4643e8be99004,8,0.1
0xdbb59151b18dd72e9ac092706e93de5b5d7a9325,8,0.1
0x499900483651b11a0f15cbd88308996dc230c557,8,0.1
0xc4109653307df34b0f95d561a7b513c739234de8,8,0.1
0x9fd631ad4dc09b2d02b59b134348dd20153be8ff,8,0.1
0x74781a0ec38e8d3840a221ad20afd4e8f0d4078e,8,0.1
0xd99fa431583364e66315e8e85add54f5f7d7bba2,8,0.1
0x7e51ad503b3bcc0d20a8dedfc2afea551441e0cd,8,0.1
0x8b90b6a6939c41a04090c3f5b2fe60bf34ca1fff,7,0.09
0xe9681687ae0af995e0892ba497bb13750500a010,7,0.09
0x2a8fad4aad618eecb5eab70097679984aa2da693,7,0.09
0x9234244e89f17a7fdba1abfac6cdb56c0290f57d,7,0.09
0x895299cd0f8a2a60d0c94ec97abf59aef8831fde,7,0.09
0x65f4ac490be28107bb1cfed59e4a816fcf83d2b2,7,0.09
0x4dc4f96941d06829c80b3284187d3569519f37f6,7,0.09
0xad7d34ce674cb2381f08444a8baa9a14bf6c68e2,7,0.09
0x6b7aec7d46f07516beec5556000ad0cc1f3f4c22,7,0.09
0x0ce455c91f50e5a7dd1c485c7d1e6667506046ef,7,0.09
0x164d24ddb785ebc361a870931ece13100bf83a23,7,0.09
0xbb9cbeeb1dc725883fc0932ae2faf5287069902e,7,0.09
0x32fe1e96a68343b8d97814d3f59952e25b4090d6,7,0.09
0xc3104071b9d321858854f8b90a9987d67fefbed3,7,0.09
0x93b899da6b69e91f7d0e008b467c1560c91ff5a8,7,0.09
0xdf3d2588b1453c64466ae3eb0396fbd09edede13,7,0.09
0x81cc802c46d4efc3db3c9bc7133f8e7ddcb03f33,7,0.09
0x8ec6eb72cc2ca02286859b5dd9631ec3121679f8,7,0.09
0x8ae70b80fc853b723a54edc5fd68831cffbc3a20,7,0.09
0x575adcdd0499c9fbaacfe6d9a285bc5df88235ff,7,0.09
0x305830bfc272c07a2ac7b2cc0a4ecda90e78f79a,7,0.09
0x1855e01152ab56832734f675a37cc22b85941122,7,0.09
0x3e415cbd89d9c5f0e7476e0f3e7dfe984d0f9fef,7,0.09
0xc8a974a97f6a7f57b6ce09aed5905d5547039f11,7,0.09
0xb1127d559a7675d889db1b209e2180adec357a41,6,0.08
0x557d9c665c4dc7be280791869b68b15b41f72825,6,0.08
0x99ea8426806b75d842f55067ac5f6dab99f9416e,6,0.08
0xded770e82430240e3a0b84473ddcd5503e9153e5,6,0.08
0xb008f5a1493f40d0d15081183bab720c3c3b7406,6,0.08
0x8dc490643c58795e5c4dfb9b24682aa6d9dec6c0,6,0.08
0xe1fd79d04f1055cd16f2ada5a508aa193a9fbe7f,6,0.08
0x01b3f674eaeda38c7dd58830bbd08fc9b0834f28,6,0.08
0x793f9a362690525542f8751fd6e8be87143db68d,6,0.08
0xf159448ef1041836fac54f2df25dd6b5b31e5d9c,6,0.08
0x8a12d19d19c5031a65af4612455803367eb463c9,6,0.08
0x049777fe49186d92ad7eab0e9b967959cc1d9eee,6,0.08
0xd099bb6b05ce5cbeb04c2a85da8a7be607e198f6,6,0.08
0xa44684d768b4f474f644a05b4887e99c742d6c9a,6,0.08
0xe5d4ea9c779831948fcab07c8a40d45a00891160,6,0.08
0x37c701ecd86cdddba614cf194d9a41d1f9c55145,6,0.08
0x0bb6d3c53bcfe236b547df5131ee3d6e5ffa841c,6,0.08
0xcdea2745c80df01c9fb7d4757cff0e78739593ce,6,0.08
0xe254e240095b61dd71957ff7fea87b937d3f511a,6,0.08
0x3e0e834c141b0bf02495c75f9a0b348f8a291454,6,0.08
0x0860303da9e0dc7bc72df4aa77b32e45cefb7d52,6,0.08
0x0659769ddf5047fcbb5336b608a20aa4321f5675,6,0.08
0x1100fb35ee46960ef5c2f424958db436f235961d,6,0.08
0x244c49a3336c270c54c85deeb4984a18c4971948,6,0.08
0x47541a5d2e1d9b781472b1eba8d138184a2afe3e,6,0.08
0x77ad6a0da7716e360071f0792a83dfbd3aea1ca9,6,0.08
0x2e82c759c806dd500235afbff3f75f9eff163d89,6,0.08
0x85fd10ce21efcc5198be5dc93761613cbeecfdcb,6,0.08
0x74116710587cd66143a286cb28ed1b97b0d00466,6,0.08
0x38a915f3f00f99908237a31423aa0d65ef61ee11,6,0.08
0x82938024d9733390e0477d7ae6b8008764170e81,6,0.08
0xc0e6ae64d7973f44e26cafdc43fb57104201e2ad,6,0.08
0x78f59e3817d59fd3bdce54ddbe296146ae2c89dd,5,0.06
0xf1f4a093a1818159f37ef670f142d6c987027428,5,0.06
0x966ce28ebfd23d87cb445c65bb02280f2905cdc1,5,0.06
0x0da4b8a0bbac0e9889621e31e81fb1584fca5a91,5,0.06
0xf3e46b6d7c73ad974b542da81314f9b64801faf6,5,0.06
0xd8f2d71ae2740604d57f650e38fe00d92a67e634,5,0.06
0xa84e3fb034f82bd3513fa667c8a7e59e3ca6bc66,5,0.06
0x51ef1038d3379beeace4c37bbcd315d3a2d61f7f,5,0.06
0x82506cacb442d317f3554212677f7fc6f7762eee,5,0.06
0xc355480a57383253f45417b55a42c379acbfea11,5,0.06
0xf403150cd9bd58af8b7d3528b0438fcb7a02aebe,5,0.06
0x996aeb815b1e33a6009c226da69be91be62d032d,5,0.06
0xedbf3c12c1f665fa574dc1190b8c7250a1e4cd4b,5,0.06
0x3f2e183df2f414bf9657a67b5784e91adb02c07b,5,0.06
0x13ac5084e9b95b43fd1057d2abe12290281102e9,5,0.06
0x4faddf11be20e4eb231f86f68ff5f2420a1fe484,5,0.06
0xef9446290575c9719c67ae95f1e867ce58f9da8a,5,0.06
0x04f981bd128892ae5a8f0c1ebd33059b9f85156a,5,0.06
0x02c8e74f73e312d1ab1498e985c99800eb6b4063,5,0.06
0x9aca21d4c170c80610593640ca3f1afd23a19562,5,0.06
0xd952c734c23d1cf1a7f6d13a95c35e8d3de19f49,5,0.06
0x5169a46cf0b99c0c1e8d078d3b9f9b6ed9a215ea,5,0.06
0xffd0b96ed16cc69e9b96fb63d4cebfe8f4b9b774,5,0.06
0x0255053dfd5ba077c6f129df9618533a1f5cc22d,5,0.06
0x13ff20af0ebb8d7778fb35a268d1791264b5bf65,5,0.06
0x741b5bc279403a3a40c8bf375d819ff974ccaa56,5,0.06
0x3346c0fd665332cfda0d8e56acc432ace777bbbc,5,0.06
0x83ae9a0a2f5c649095e30539401430b23c4b28b7,5,0.06
0xa7f3ce95721cd4760997af5ae15a8a8fffd95346,5,0.06
0x0662596a2a8f7fe81e13f5b68f77e851a1251f73,5,0.06
0x62eb3e90696d302f80c48d859943f0e244823436,5,0.06
0x9faf2062dbf1f094c6b518549bf9c73c6f41a928,5,0.06
0x340582d5b0c346e2bb12601dc8c6abf0cb57ae1d,5,0.06
0x92a96518407397766500a0ca25626a5715397d3b,5,0.06
0x1a96659fd8a6bb57e429445d16eb0abbb2c2f4dd,5,0.06
0x285e053eaaf0693269462194fd7eb9a039517b10,5,0.06
